Symbol,Date,Signal,Confidence,Type,Condition,ATRpct,Pattern detected,Breakout
CPER,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,1.93,Triple Bottom,No,0.0
ALAB,2025-12-19,Stage: Mark-Up,70.0,WATCH,STAGE,,,No
ALAB,2025-12-19,SELL_TGT_6w:177.1227,7.74,TARGET,SELL_TGT_6w,8.98,,No
ALAB,2025-12-19,SELL_TGT_8w:177.1227,7.74,TARGET,SELL_TGT_8w,8.98,,No
ALAB,2025-12-19,SELL_TGT_12w:173.5179,5.55,TARGET,SELL_TGT_12w,8.98,,No
ALAB,2025-12-19,SELL_TGT_18w:173.5179,5.55,TARGET,SELL_TGT_18w,8.98,,No
ALAB,2025-12-19,SELL_TGT_30w:173.5179,5.55,TARGET,SELL_TGT_30w,8.98,,No
SizePct
ALAB,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,8.98,-,No,0.0
APP,2025-12-19,Stage: Mark-Up,85.0,WATCH,STAGE,,,No
APP,2025-12-19,SELL_TGT_6w:728.5837,1.0,TARGET,SELL_TGT_6w,4.77,,No
APP,2025-12-19,SELL_TGT_8w:728.5837,1.0,TARGET,SELL_TGT_8w,4.77,,No
APP,2025-12-19,SELL_TGT_12w:728.5837,1.0,TARGET,SELL_TGT_12w,4.77,,No
APP,2025-12-19,SELL_TGT_18w:728.5837,1.0,TARGET,SELL_TGT_18w,4.77,,No
APP,2025-12-19,SELL_TGT_30w:728.5837,1.0,TARGET,SELL_TGT_30w,4.77,,No
SizePct
APP,2025-12-20,Overbought (>27% above 200 DEMA),45.0,SELL,Overbought (>27% above 200 DEMA),4.77,-,No,2.25
SizePct
APP,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,4.77,-,No,0.0
CPAY,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,,Yes
CPAY,2025-12-19,SELL_TGT_6w:316.7995,2.26,TARGET,SELL_TGT_6w,2.52,,Yes
CPAY,2025-12-19,SELL_TGT_8w:316.7995,2.26,TARGET,SELL_TGT_8w,2.52,,Yes
CPAY,2025-12-19,SELL_TGT_12w:314.9591,1.66,TARGET,SELL_TGT_12w,2.52,,Yes
CPAY,2025-12-19,SELL_TGT_18w:314.9591,1.66,TARGET,SELL_TGT_18w,2.52,,Yes
CPAY,2025-12-19,SELL_TGT_30w:314.9591,1.66,TARGET,SELL_TGT_30w,2.52,,Yes
SizePct
CPAY,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,2.52,-,No,0.0
