symbol,MACD_Bullish,RSI_Oversold_Reversal,Volume_Surge,sector,undervalued,ema_bullish,bb_squeeze,rs_vs_proxy,avg_dollar_vol,passes_liquidity,drop_rebound_5%_success_rate,drop_rebound_10%_success_rate,events_10,drop_rebound_15%_success_rate,drop_rebound_20%_success_rate,events_20,drop_rebound_25%_success_rate,drop_rebound_30%_success_rate,events_25,events_30,q_demand_date,q_demand_proximal,q_demand_distal,q_demand_width,q_demand_delta,q_demand_distance,q_demand_distance_pct,q_demand_near,q_supply_date,q_supply_proximal,q_supply_distal,q_supply_width,q_supply_delta,q_supply_distance,q_supply_distance_pct,q_supply_near,score,label
NNE,False,False,False,NuclearETF,False,True,False,False,926851.291935,False,88.46,88.46,26,87.5,86.36,22,88.89,86.67,18,15,2025-06-30,34.49,17.26,17.23,4.799999999999997,4.799999999999997,13.917077413743103,False,,,,,,,,,1,⚠️ WEAK
OKLO,False,False,False,Nuclear,False,True,False,True,17019957.69051,True,85.37,91.89,37,90.91,88.89,27,85.71,84.21,21,19,2025-06-30,55.99,17.8,38.19,54.54,54.54,97.41025183068405,False,,,,,,,,,2,⚠️ WEAK
QBTS,True,False,False,Quantum,False,True,False,True,9795330.75127,True,93.44,95.0,60,90.74,92.31,52,88.37,90.24,43,41,2023-06-30,2.09,0.3962,1.6938,24.67,24.67,1180.3827751196175,False,,,,,,,,,5,🔎 WATCH
QNTM,False,False,False,Quantum,True,True,False,False,18371.95567,False,83.08,80.95,63,81.67,78.57,56,80.77,80.0,52,50,2024-12-31,4.02,2.7,1.3199999999999994,12.3,12.3,305.9701492537314,False,2023-06-30,74.7481,136.4966,61.74850000000001,-58.42809999999999,58.42809999999999,78.16666911934885,False,4,⚠️ WEAK
QS,True,False,False,Battery,False,True,False,True,3739714.9488349995,True,80.95,80.33,61,80.7,78.85,52,80.95,74.29,42,35,2022-12-31,8.47,5.11,3.3600000000000003,4.1899999999999995,4.1899999999999995,49.46871310507673,False,,,,,,,,,5,🔎 WATCH
QUBT,False,False,False,Quantum,False,True,False,False,5435376.6849125,True,90.91,90.77,65,90.16,86.79,53,86.96,84.62,46,39,2023-06-30,1.36,1.04,0.32000000000000006,18.785,18.785,1381.25,False,,,,,,,,,3,⚠️ WEAK
RBRK,True,False,False,Cybersecurity,False,True,False,False,2774354.69775,False,71.43,70.0,20,71.43,71.43,7,100.0,100.0,3,2,,,,,,,,,,,,,,,,,2,⚠️ WEAK
REPX,True,False,True,OilGas,False,True,True,False,19099.016344999996,False,77.27,75.0,52,73.33,66.67,18,100.0,100.0,5,2,2025-06-30,28.37,21.36,7.010000000000002,0.5899999999999999,0.5899999999999999,2.079661614381388,True,2023-06-30,31.83,42.28,10.450000000000003,-2.8699999999999974,2.8699999999999974,9.016650958215513,False,5,🔎 WATCH
RGTI,True,False,False,Quantum,False,True,False,True,14456133.584345002,True,92.54,92.31,65,91.53,90.74,54,89.58,88.37,48,43,2023-06-30,1.175,0.3601,0.8149000000000001,30.005,30.005,2553.6170212765956,False,,,,,,,,,5,🔎 WATCH
RKLB,False,False,False,Aerospace,False,True,False,False,8544952.528025,True,86.44,87.23,47,82.5,75.86,29,70.37,77.78,27,18,2025-06-30,35.77,14.71,21.060000000000002,10.489999999999995,10.489999999999995,29.326251048364533,False,,,,,,,,,1,⚠️ WEAK
RNGR,False,False,False,OilServices,False,True,False,False,12315.535085,False,62.5,59.38,32,70.0,72.73,11,57.14,100.0,7,2,2025-06-30,13.86,10.46,3.3999999999999986,0.620000000000001,0.620000000000001,4.473304473304481,False,,,,,,,,,1,⚠️ WEAK
